sku,old_title,new_title,status
"G32D","Gel bôi trơn hậu môn Orgie Anal Lube Tube 100ml – Trơn mượt, không đau rát, an toàn cho mọi cuộc yêu","Gel Bôi Trơn Hậu Môn Orgie Anal Lube Tube 100ml","OK"
"EG06","Trứng rung mini 10 chế độ rung – Điều khiển từ xa, cực khoái trong tầm tay","Trứng Rung Mini 10 Chế Độ Rung Điều Khiển Từ Xa","OK"
"AD38E","Âm đạo silicon hình trái đào mũm mĩm – Thiết kế dễ thương, trải nghiệm chân thật","Âm Đạo Silicon Hình Trái Đào Mũm Mĩm - Thiết Kế Dễ Thương, Trải Nghiệm Chân Thật","OK"
"DV68S","Dương vật Lovetoy dual layered silicon siêu mềm size lớn 10.5"" – Cảm giác chân thực, kích thích tối đa","Dương Vật Giả Rung Lovetoy Dual Layered Silicon Siêu Mềm Size Lớn 10.5","OK"
"DV68T","Dương vật Lovetoy Platinum silicon 2 lớp size khủng 11.5"" – Cảm giác chân thực, thỏa mãn trọn vẹn","Dương Vật Giả Rung Lovetoy Platinum Silicon 2 Lớp Size Khủng 11.5","OK"
"DC89ZA","Ngón tay Svakom rung liếm điểm G cực phê – Kích thích đa chiều, khoái cảm thăng hoa","Ngón Tay Rung Liếm Điểm G Svakom Kích Thích Đa Chiều","OK"
"G30","Gel bôi trơn Svakom Human Body 100ml dạng túi – Bôi trơn an toàn, tiện lợi cho vùng kín","Gel Bôi Trơn Svakom Human Body 100ml Dạng Túi","OK"
"QT09G","Bộ Đồ Chơi SM Da Sang Chảnh Nhiều Màu – Kích Thích Mọi Giác Quan, Phá Cách & Gợi Cảm","Bộ Đồ Chơi SM Da Sang Chảnh Nhiều Màu Kích Thích Mọi Giác Quan Phá Cách Và Gợi Cảm","OK"
"QT18","Bộ Đồ Chơi SM Da Cao Cấp – Kèm Hộp Đựng Sang Trọng, Kích Thích Mọi Giác Quan","Bộ Đồ Chơi SM Da Cao Cấp Kèm Hộp Đựng Sang Trọng","OK"
"QT18","🦊 Bộ Đồ Chơi SM Hồ Ly Độc Đáo – Gợi Cảm, Bí Ẩn & Khiêu Gợi","Bộ Đồ Chơi SM Hồ Ly Độc Đáo Gợi Cảm Bí Ẩn Khiêu Gợi","OK"
"DC56E","Mặt Nạ Da Tai Mèo Ngộ Nghĩnh – Tạo Điểm Nhấn Gợi Cảm & Cá Tính","Mặt Nạ Da Tai Mèo Ngộ Nghĩnh Gợi Cảm Và Cá Tính","OK"
"PK020","🔥 Băng Keo SM – Kích Thích Trò Chơi Phòng The Đầy Kịch Tính","Băng Keo SM Kích Thích Trò Chơi Phòng The Đầy Kịch Tính","OK"
"MS14N","🌀 Máy Rung Liếm Đa Năng – Miệng Ngậm Há, Lưỡi Đá Cực Phê","Máy Rung Liếm Đa Năng - Miệng Ngậm Há, Lưỡi Đá","OK"
"EG05E","Trứng rung cá heo nhỏ xinh có sưởi ấm điều khiển xa","Trứng Rung Cá Heo Nhỏ Xinh Có Sưởi Ấm Điều Khiển Từ Xa","OK"
"AV17E","Chày Rung Kèm Đầu Rung Mini – Mát Xa Ti, Hạt Le Cực Mạnh Mẽ","Chày Rung Kèm Đầu Rung Mini Mát Xa Ti Và Hạt Le Cực Mạnh Mẽ","OK"
"DC46P","Âm Đạo Silicon Cao Cấp Rung Rên Bú Sưởi Ấm – Cực Phẩm Cho Nam Giới","Âm Đạo Silicon Cao Cấp Rung Rên Bú Sưởi Ấm Cho Nam Giới","OK"
"DV73D","Dương Vật Giả 3 Trong 1 Rung Bú Đá Lưỡi – Kích Thích Cực Khoái Toàn Diện Cho Nữ","Dương Vật Giả Rung 3 Trong 1 Bú Đá Lưỡi Cho Nữ","OK"
"MS45D","Máy Rung Điểm G Mini Sưởi Ấm – Kích Thích Cực Khoái Đỉnh Cao Cho Phái Nữ","Máy Rung Điểm G Mini Sưởi Ấm Cho Phái Nữ","OK"
"DC93R","Máy Rung Hậu Môn Lovense Edge 2 Cao Cấp – Điều Khiển Qua App, Kích Thích Tuyệt Đỉnh","Máy Rung Hậu Môn Lovense Edge 2 Điều Khiển Qua App","OK"
"EG34G","Trứng Rung Yeain Spring Buds Hạt Mầm Xanh – Kết Nối App, Nhỏ Gọn, Rung Cực Mạnh","Trứng Rung Tình Yêu Yeain Spring Buds Hạt Mầm Xanh Kết Nối App Nhỏ Gọn Rung Cực Mạnh","OK"
"EG34E","Trứng Rung Lovense Lush 4 Cao Cấp – Điều Khiển Qua App, Kết Nối Toàn Cầu","Trứng Rung Lovense Lush 4 Điều Khiển Qua App Kết Nối Toàn Cầu","OK"
"DC50U","Dương Vật Giả Tự Động Rung Thụt Sưởi Ấm Nhỏ Gọn – Cực Sướng, Cực Tiện","Dương Vật Giả Tự Động Rung Thụt Sưởi Ấm Nhỏ Gọn","OK"
"DV68Q","Dương Vật Giả Lovetoy Nature Cock 9.5 Inch – Siêu Thật, Dài To, Kích Thích Cực Mạnh","Dương Vật Giả Rung Lovetoy Nature Cock 9.5 Inch Siêu Thật","OK"
"DV68R","Dương Vật Giả Siêu Khủng Lovetoy Platinum Silicone Cock 12.5 Inch – Cực Đại, Siêu Thật, Đỉnh Khoái Cảm","Dương Vật Giả Lovetoy Platinum Silicone Cock 12.5 Inch Siêu Thật","OK"
"DV55XS","Dương Vật Dán Tường Mini Lovetoy Enduro Blaste 5 Inch – Gọn Nhẹ, Cực Kỳ Kích Thích","Dương Vật Dán Tường Mini Lovetoy Enduro Blaste 5 Inch","OK"
"DV75A","Dương Vật Đa Năng Yeain Hot Wheel – Rung Thụt Xoay Liếm & Tỏa Nhiệt Cực Mạnh","Dương Vật Giả Rung Đa Năng Yeain Hot Wheel Thụt Xoay Liếm Tỏa Nhiệt Cực Mạnh","OK"
"DV70B","Dương Vật Đai Đeo 2 Đầu Rung Thụt – Điều Khiển Từ Xa Cực Mạnh Mẽ","Dương Vật Giả Đai Đeo 2 Đầu Rung Thụt Điều Khiển Từ Xa","OK"
"DC90U2","Máy Rung Âm Vật Gắn Quần Chip Svakom Echo 2 – Cao Cấp, Kín Đáo & Mạnh Mẽ","Máy Rung Âm Vật Gắn Quần Chip Svakom Echo 2 Kín Đáo Và Mạnh Mẽ","OK"
"DC89M2","Máy Rung Hậu Môn Svakom Vick Neo 2 – Tỏa Nhiệt & Điều Khiển Qua Internet","Máy Rung Hậu Môn Svakom Vick Neo 2 Tỏa Nhiệt Điều Khiển Qua Internet","OK"
"DC72C","Vòng Massage Cu Rung Đa Tần Có Sưởi Ấm – Cực Khoái Mạnh Mẽ, Trải Nghiệm Ấm Áp","Vòng Massage Dương Vật Rung Đa Tần Có Sưởi Ấm","OK"
"MS41M","Máy Rung Bú Hạt Le 2 Đầu Cao Cấp Kiss Toy – Kích Thích Mạnh Mẽ, Cực Khoái Tột Đỉnh","Máy Rung Bú Hạt Le 2 Đầu Cao Cấp Kiss Toy","OK"
"HM17K","Chuỗi Hạt Rung Hậu Môn Black Mont Sạc Pin – Kích Thích Sâu, Khoái Cảm Mạnh Mẽ","Chuỗi Hạt Rung Hậu Môn Black Mont Sạc Pin - Kích Thích Sâu, Khoái Cảm Mạnh Mẽ","OK"
"BZ20A","Bộ Kẹp Đầu Ti Ngọc Trai Cao Cấp Senuelo Pearl Nipple Clamps Kit","Bộ Kẹp Đầu Ti Ngọc Trai Cao Cấp Senuelo","OK"
"BZ20B","Cọ Lăn Gai Đeo Ngón Tay Thorn Finger Pinwheel – Kích Thích Mạnh Mẽ, Cảm Giác Đầy Mới Lạ","Cọ Lăn Gai Đeo Ngón Tay Thorn Finger Pinwheel Kích Thích Mạnh Mẽ","OK"
"BZ20C","Cây Cọ Lăn Gai Siêu Kích Thích Prickly Pinwheel – Cảm Giác Mới Lạ, Đê Mê Tột Đỉnh","Cây Cọ Lăn Gai Prickly Pinwheel Kích Thích Cảm Giác Mới Lạ","OK"
"DV21A","Dương Vật Đa Năng Rung Ngoáy Giá Rẻ – Khoái Cảm Mạnh Mẽ, Giá Tốt","Dương Vật Giả Rung Đa Năng Rung Ngoáy Khoái Cảm Mạnh Mẽ Giá Rẻ","OK"
"DV44F","Dương Vật Silicon Mini Siêu Rung 69 Ecstasy – Kích Thích Mạnh Mẽ, Cực Khoái Tột Đỉnh","Dương Vật Giả Rung Silicon Mini 69 Ecstasy","OK"
"QT17","Bộ Đồ Chơi Phòng The Hot Storm – Trải Nghiệm Cực Khoái Cho Cặp Đôi","Bộ Đồ Chơi Phòng The Hot Storm Cho Cặp Đôi","OK"
"DC50T","Máy Làm Tình Tự Động Cao Cấp – Robot 4 Chân Thế Hệ Mới | Trải Nghiệm Đỉnh Cao","Máy Làm Tình Tự Động Robot 4 Chân Thế Hệ Mới","OK"
